Date_ID,Date,year,Month,Quarter,Date_ID.1
DT00405,2018-02-09,2018,2,Q1,DT00405
DT00406,2018-02-10,2018,2,Q1,DT00406
DT00407,2018-02-11,2018,2,Q1,DT00407
DT00408,2018-02-12,2018,2,Q1,DT00408
DT00409,2018-02-13,2018,2,Q1,DT00409
DT00410,2018-02-14,2018,2,Q1,DT00410
DT00411,2018-02-15,2018,2,Q1,DT00411
DT00412,2018-02-16,2018,2,Q1,DT00412
DT00413,2018-02-17,2018,2,Q1,DT00413
DT00414,2018-02-18,2018,2,Q1,DT00414
DT00415,2018-02-19,2018,2,Q1,DT00415
DT00416,2018-02-20,2018,2,Q1,DT00416
DT00417,2018-02-21,2018,2,Q1,DT00417
DT00418,2018-02-22,2018,2,Q1,DT00418
DT00419,2018-02-23,2018,2,Q1,DT00419
DT00420,2018-02-24,2018,2,Q1,DT00420
DT00421,2018-02-25,2018,2,Q1,DT00421
DT00422,2018-02-26,2018,2,Q1,DT00422
DT00423,2018-02-27,2018,2,Q1,DT00423
DT00424,2018-02-28,2018,2,Q1,DT00424
DT00425,2018-03-01,2018,3,Q1,DT00425
DT00426,2018-03-02,2018,3,Q1,DT00426
DT00427,2018-03-03,2018,3,Q1,DT00427
DT00428,2018-03-04,2018,3,Q1,DT00428
DT00429,2018-03-05,2018,3,Q1,DT00429
DT00430,2018-03-06,2018,3,Q1,DT00430
DT00431,2018-03-07,2018,3,Q1,DT00431
DT00432,2018-03-08,2018,3,Q1,DT00432
DT00433,2018-03-09,2018,3,Q1,DT00433
DT00434,2018-03-10,2018,3,Q1,DT00434
DT00435,2018-03-11,2018,3,Q1,DT00435
DT00436,2018-03-12,2018,3,Q1,DT00436
DT00437,2018-03-13,2018,3,Q1,DT00437
DT00438,2018-03-14,2018,3,Q1,DT00438
DT00439,2018-03-15,2018,3,Q1,DT00439
DT00440,2018-03-16,2018,3,Q1,DT00440
DT00441,2018-03-17,2018,3,Q1,DT00441
DT00442,2018-03-18,2018,3,Q1,DT00442
DT00443,2018-03-19,2018,3,Q1,DT00443
DT00444,2018-03-20,2018,3,Q1,DT00444
DT00445,2018-03-21,2018,3,Q1,DT00445
DT00446,2018-03-22,2018,3,Q1,DT00446
DT00447,2018-03-23,2018,3,Q1,DT00447
DT00448,2018-03-24,2018,3,Q1,DT00448
DT00449,2018-03-25,2018,3,Q1,DT00449
DT00450,2018-03-26,2018,3,Q1,DT00450
DT00451,2018-03-27,2018,3,Q1,DT00451
